date,ticker,bank,cohort,close
2021-08-23,AXISBANK.NS,Axis Bank,Private,732.474365234375
2021-08-24,AXISBANK.NS,Axis Bank,Private,742.673828125
2021-08-25,AXISBANK.NS,Axis Bank,Private,735.409912109375
2021-08-26,AXISBANK.NS,Axis Bank,Private,742.673828125
2021-08-27,AXISBANK.NS,Axis Bank,Private,748.6941528320312
2021-08-30,AXISBANK.NS,Axis Bank,Private,780.188232421875
2021-08-31,AXISBANK.NS,Axis Bank,Private,782.6261596679688
2021-09-01,AXISBANK.NS,Axis Bank,Private,794.965087890625
2021-09-02,AXISBANK.NS,Axis Bank,Private,798.7464599609375
2021-09-03,AXISBANK.NS,Axis Bank,Private,794.0695190429688
2021-09-06,AXISBANK.NS,Axis Bank,Private,796.8557739257812
2021-09-07,AXISBANK.NS,Axis Bank,Private,783.969482421875
2021-09-08,AXISBANK.NS,Axis Bank,Private,790.7857666015625
2021-09-09,AXISBANK.NS,Axis Bank,Private,786.2581787109375
2021-09-13,AXISBANK.NS,Axis Bank,Private,784.4669799804688
2021-09-14,AXISBANK.NS,Axis Bank,Private,790.4873046875
2021-09-15,AXISBANK.NS,Axis Bank,Private,787.5020141601562
2021-09-16,AXISBANK.NS,Axis Bank,Private,798.6467895507812
2021-09-17,AXISBANK.NS,Axis Bank,Private,803.3734130859375
2021-09-20,AXISBANK.NS,Axis Bank,Private,791.9301147460938
2021-09-21,AXISBANK.NS,Axis Bank,Private,791.4325561523438
2021-09-22,AXISBANK.NS,Axis Bank,Private,784.4669799804688
2021-09-23,AXISBANK.NS,Axis Bank,Private,808.1497802734375
2021-09-24,AXISBANK.NS,Axis Bank,Private,794.1192016601562
2021-09-27,AXISBANK.NS,Axis Bank,Private,793.0245971679688
2021-09-28,AXISBANK.NS,Axis Bank,Private,785.3128662109375
2021-09-29,AXISBANK.NS,Axis Bank,Private,778.297607421875
2021-09-30,AXISBANK.NS,Axis Bank,Private,762.7744140625
2021-10-01,AXISBANK.NS,Axis Bank,Private,764.3665161132812
2021-10-04,AXISBANK.NS,Axis Bank,Private,775.1630859375
2021-10-05,AXISBANK.NS,Axis Bank,Private,778.7453002929688
2021-10-06,AXISBANK.NS,Axis Bank,Private,775.1134033203125
2021-10-07,AXISBANK.NS,Axis Bank,Private,773.2723999023438
2021-10-08,AXISBANK.NS,Axis Bank,Private,778.0985717773438
2021-10-11,AXISBANK.NS,Axis Bank,Private,783.2730102539062
2021-10-12,AXISBANK.NS,Axis Bank,Private,793.2237548828125
2021-10-13,AXISBANK.NS,Axis Bank,Private,790.6862182617188
2021-10-14,AXISBANK.NS,Axis Bank,Private,798.0995483398438
2021-10-18,AXISBANK.NS,Axis Bank,Private,809.2941284179688
2021-10-19,AXISBANK.NS,Axis Bank,Private,797.7015991210938
2021-10-20,AXISBANK.NS,Axis Bank,Private,800.8359985351562
2021-10-21,AXISBANK.NS,Axis Bank,Private,803.8212280273438
2021-10-22,AXISBANK.NS,Axis Bank,Private,812.6774291992188
2021-10-25,AXISBANK.NS,Axis Bank,Private,840.9374389648438
2021-10-26,AXISBANK.NS,Axis Bank,Private,837.7532958984375
2021-10-27,AXISBANK.NS,Axis Bank,Private,783.6212158203125
2021-10-28,AXISBANK.NS,Axis Bank,Private,754.6148071289062
2021-10-29,AXISBANK.NS,Axis Bank,Private,738.3452758789062
