fund_house,schemes,asset_classes
ICICI Prudential Mutual Fund,2498,7
Nippon India Mutual Fund,1865,7
UTI Mutual Fund,1363,7
Kotak Mahindra Mutual Fund,920,6
HDFC Mutual Fund,568,7
SBI Mutual Fund,485,7
Aditya Birla Sun Life Mutual Fund,461,7
Bandhan Mutual Fund,431,7
Axis Mutual Fund,412,7
Tata Mutual Fund,401,7
DSP Mutual Fund,359,6
Franklin Templeton Mutual Fund,321,6
Edelweiss Mutual Fund,304,6
HSBC Mutual Fund,282,5
Sundaram Mutual Fund,277,5
Mirae Asset Mutual Fund,272,5
Baroda BNP Paribas Mutual Fund,263,7
Invesco Mutual Fund,237,5
LIC Mutual Fund,220,7
Groww Mutual Fund,217,5
Motilal Oswal Mutual Fund,214,6
PGIM India Mutual Fund,199,6
JM Financial Mutual Fund,178,3
Union Mutual Fund,151,6
Bank of India Mutual Fund,140,3
Canara Robeco Mutual Fund,130,3
quant Mutual Fund,128,3
Mahindra Manulife Mutual Fund,122,4
ITI Mutual Fund,110,3
Bajaj Finserv Mutual Fund,108,5
Navi Mutual Fund,74,5
WhiteOak Capital Mutual Fund,66,3
Trust Mutual Fund,48,3
The Wealth Company Mutual Fund,45,5
360 ONE Mutual Fund,45,4
Quantum Mutual Fund,42,5
Taurus Mutual Fund,39,3
Shriram Mutual Fund,35,4
Helios Mutual Fund,32,3
Samco Mutual Fund,29,3
PPFAS Mutual Fund,28,3
NJ Mutual Fund,25,3
Jio BlackRock Mutual Fund,23,3
Zerodha Mutual Fund,22,6
Abakkus Mutual Fund,19,2
Angel One Mutual Fund,16,3
AlphaGrep Mutual Fund,12,3
Capitalmind Mutual Fund,12,3
Old Bridge Mutual Fund,12,2
IL&FS Mutual Fund (IDF),12,1
Choice Mutual Fund,10,3
Unifi Mutual Fund,6,3
